['PRP$', 'VBG', 'FW', '``', 'VBN', 'POS', "''", 'VBP', 'WDT', 'JJ', 'WP', 'VBZ', 'DT', '#', 'RP', '$', 'NN', ')', '(', 'RBR', 'VBD', ',', '.', 'TO', 'LS', 'RB', ':', 'NNS', 'NNP', 'VB', 'WRB', 'CC', 'PDT', 'RBS', 'PRP', 'CD', 'EX', 'IN', 'WP$', 'MD', 'NNPS', 'JJS', 'JJR', 'SYM', 'UH']
[0, 1, 0, 0, 12, 40, 0, 41, 0, 49, 12, 32, 1, 0, 1, 1, 266, 1, 0, 1, 19, 2, 2, 0, 0, 9, 0, 147, 132, 11, 0, 13, 0, 0, 2, 66, 0, 3, 0, 9, 5, 0, 0, 0, 0]
[3, 12, 0, 0, 11, 3, 2, 6, 1, 22, 1, 12, 160, 0, 0, 0, 24, 0, 0, 1, 32, 1, 0, 0, 0, 36, 2, 23, 154, 14, 20, 21, 0, 0, 62, 18, 1, 100, 1, 0, 2, 0, 1, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 4, 0, 2, 0, 14, 3, 0, 0, 0, 1, 10, 1, 3, 1, 0, 1, 0, 0, 8, 2, 0, 0, 0, 6, 0, 0, 0, 0, 0]
[26, 14, 0, 42, 20, 7, 46, 54, 18, 90, 16, 72, 829, 0, 3, 81, 66, 0, 5, 4, 84, 393, 59, 137, 0, 56, 13, 21, 104, 16, 4, 112, 0, 0, 77, 1, 0, 347, 0, 52, 1, 4, 1, 0, 0]
[9, 32, 0, 1, 27, 0, 1, 22, 0, 195, 1, 6, 11, 0, 0, 0, 302, 1, 0, 0, 20, 1, 0, 0, 0, 48, 1, 111, 491, 48, 1, 1, 0, 0, 40, 79, 0, 6, 0, 1, 9, 9, 4, 0, 0]
[38, 25, 0, 66, 44, 14, 40, 11, 1, 58, 4, 14, 83, 0, 9, 1, 267, 11, 0, 4, 33, 1, 1, 4, 0, 46, 2, 169, 125, 56, 4, 5, 0, 1, 53, 24, 0, 50, 0, 2, 2, 1, 6, 0, 0]
[13, 19, 0, 0, 26, 4, 15, 46, 0, 32, 2, 45, 13, 0, 17, 0, 99, 3, 3, 1, 76, 577, 54, 7, 0, 45, 33, 85, 53, 61, 5, 14, 3, 0, 15, 20, 0, 120, 1, 30, 0, 2, 6, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]
[0, 13, 0, 2, 12, 25, 0, 35, 2, 26, 15, 106, 1, 0, 1, 0, 239, 0, 4, 0, 28, 8, 0, 0, 0, 15, 6, 135, 85, 13, 4, 2, 0, 0, 0, 12, 0, 28, 0, 12, 1, 1, 0, 0, 0]
[0, 3, 0, 0, 7, 13, 0, 1, 0, 15, 0, 14, 4, 0, 0, 0, 82, 2, 0, 0, 3, 869, 1290, 1, 0, 5, 25, 44, 34, 5, 0, 0, 0, 0, 2, 17, 0, 12, 0, 0, 0, 3, 0, 0, 0]
[52, 51, 0, 4, 44, 133, 4, 151, 62, 306, 13, 206, 120, 0, 24, 94, 503, 0, 3, 18, 266, 35, 6, 609, 2, 169, 46, 214, 354, 75, 12, 467, 1, 0, 154, 99, 3, 1722, 1, 108, 8, 6, 25, 0, 0]
[1, 7, 0, 0, 14, 8, 0, 0, 0, 13, 1, 18, 2, 0, 10, 0, 55, 1, 4, 0, 96, 25, 1, 7, 0, 18, 28, 49, 26, 10, 1, 5, 0, 0, 49, 7, 0, 604, 0, 16, 1, 0, 0, 0, 0]
[4, 67, 1, 9, 83, 4, 9, 28, 3, 270, 2, 36, 162, 0, 1, 13, 379, 1, 2, 3, 37, 21, 0, 56, 1, 56, 13, 238, 420, 52, 2, 35, 1, 0, 8, 118, 0, 88, 0, 6, 13, 7, 3, 0, 0]
[0, 0, 0, 0, 1, 0, 0, 0, 4, 7, 0, 2, 4, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 41, 31, 0, 0, 1, 0, 0, 5, 4, 0, 2, 0, 0, 2, 0, 0, 0, 0]
[0, 2, 0, 0, 8, 1, 0, 4, 0, 14, 0, 5, 8, 0, 0, 1, 43, 1, 1, 0, 2, 2, 1, 1, 0, 4, 1, 16, 44, 1, 0, 4, 0, 0, 1, 3, 0, 12, 1, 0, 0, 0, 1, 0, 0]
[4, 7, 0, 2, 5, 1, 0, 1, 0, 76, 0, 25, 24, 1, 0, 0, 401, 0, 0, 0, 7, 1, 0, 0, 0, 11, 1, 169, 65, 6, 0, 0, 0, 1, 1, 19, 0, 13, 0, 0, 0, 2, 2, 0, 0]
[15, 56, 0, 0, 32, 0, 0, 16, 0, 162, 9, 8, 175, 0, 2, 0, 246, 1, 0, 3, 6, 0, 0, 4, 0, 78, 0, 182, 134, 27, 5, 50, 0, 9, 76, 52, 3, 82, 0, 1, 4, 7, 11, 0, 0]
[1, 26, 0, 1, 27, 0, 1, 23, 0, 22, 1, 47, 1, 0, 0, 1, 118, 6, 0, 0, 29, 2, 0, 0, 0, 12, 1, 58, 108, 47, 0, 1, 0, 0, 10, 41, 0, 9, 0, 13, 1, 0, 1, 0, 0]
[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 5, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 0, 0]
[0, 7, 0, 0, 8, 0, 166, 1, 0, 3, 0, 0, 10, 0, 0, 0, 8, 4, 0, 0, 5, 1, 484, 0, 0, 2, 2, 5, 7, 0, 0, 16, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0]
[1, 22, 0, 2, 10, 1, 0, 5, 1, 55, 0, 16, 12, 0, 3, 0, 53, 0, 0, 0, 19, 24, 1, 10, 0, 14, 3, 25, 110, 22, 0, 6, 1, 1, 0, 16, 0, 23, 0, 1, 2, 1, 4, 0, 0]
[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 35, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[21, 19, 0, 0, 9, 2, 0, 0, 2, 90, 5, 1, 76, 0, 0, 0, 107, 0, 0, 0, 2, 1, 0, 3, 0, 10, 0, 100, 87, 1, 0, 1, 1, 0, 32, 13, 10, 28, 0, 0, 4, 0, 2, 0, 0]
[55, 118, 1, 4, 171, 4, 1, 60, 63, 300, 14, 75, 69, 0, 5, 0, 782, 4, 0, 6, 113, 1, 0, 2, 1, 262, 0, 260, 566, 186, 6, 17, 0, 0, 39, 256, 16, 55, 0, 10, 12, 18, 10, 0, 0]
[1, 20, 0, 4, 16, 0, 1, 5, 1, 139, 0, 16, 97, 0, 1, 1, 63, 1, 0, 0, 7, 7, 2, 5, 0, 10, 0, 30, 215, 12, 1, 8, 0, 0, 25, 90, 0, 27, 0, 1, 2, 0, 0, 0, 0]
[1, 10, 0, 0, 80, 2, 1, 28, 1, 20, 1, 33, 20, 0, 7, 0, 105, 9, 0, 0, 75, 10, 0, 1, 2, 49, 9, 56, 130, 23, 3, 19, 0, 0, 19, 22, 2, 75, 0, 6, 6, 0, 0, 1, 0]
[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 32, 0, 1, 0, 2, 0, 1, 0, 2, 16, 0, 3, 0, 1, 0, 2, 8, 1, 1, 0, 0, 0, 9, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0]
[7, 0, 0, 0, 0, 9, 30, 5, 0, 27, 6, 29, 11, 0, 0, 29, 33, 0, 0, 0, 21, 0, 0, 0, 0, 3, 0, 29, 21, 0, 0, 5, 0, 0, 8, 22, 0, 60, 0, 32, 1, 0, 0, 0, 0]
[0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 99, 0, 1, 5, 13, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 3, 6, 0, 0, 0, 0, 0, 11, 1, 0, 6, 0, 0, 0, 1, 0, 0, 0]
[0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 15, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]
[4, 4, 0, 4, 4, 2, 6, 3, 5, 19, 2, 7, 126, 0, 1, 8, 28, 0, 0, 0, 6, 179, 1, 18, 0, 11, 5, 11, 103, 9, 0, 31, 0, 1, 7, 1, 0, 74, 1, 2, 0, 1, 1, 0, 0]
[24, 32, 0, 28, 59, 20, 7, 24, 8, 146, 3, 47, 352, 0, 11, 30, 326, 6, 10, 2, 87, 125, 2, 30, 3, 82, 24, 119, 390, 42, 2, 95, 0, 1, 57, 36, 4, 284, 0, 19, 4, 1, 9, 0, 0]
